Mes,Capital_Geometrico,Capital_Aritmetico,Diferencia
0,10000000.0,10000000.0,0.0
1,10150000.0,10150000.0,-0.0
2,10302250.0,10300000.0,2250.0
3,10456783.75,10450000.0,6783.75
4,10613635.51,10600000.0,13635.51
5,10772840.04,10750000.0,22840.04
6,10934432.64,10900000.0,34432.64
7,11098449.13,11050000.0,48449.13
8,11264925.87,11200000.0,64925.87
9,11433899.75,11350000.0,83899.75
10,11605408.25,11500000.0,105408.25
11,11779489.37,11650000.0,129489.37
12,11956181.71,11800000.0,156181.71
13,12135524.44,11950000.0,185524.44
14,12317557.31,12100000.0,217557.31
15,12502320.67,12250000.0,252320.67
16,12689855.48,12400000.0,289855.48
17,12880203.31,12550000.0,330203.31
18,13073406.36,12700000.0,373406.36
19,13269507.45,12850000.0,419507.45
20,13468550.07,13000000.0,468550.07
21,13670578.32,13150000.0,520578.32
22,13875636.99,13300000.0,575636.99
23,14083771.55,13450000.0,633771.55
24,14295028.12,13600000.0,695028.12
